index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,500,1000,0.0,0.98192,0.01808,0.0,0.98192,0.01808
1,cnn,500,1500,0.0,0.87846,0.12154,0.0,0.87846,0.12154
2,cnn,500,2000,0.0,0.45888,0.54112,0.0,0.45888,0.54112
3,cnn,500,2500,0.0,0.46484,0.53516,0.0,0.46484,0.53516
4,cnn,500,3000,0.0,0.64134,0.35866,0.0,0.64134,0.35866
5,cnn,500,3500,0.0,0.85204,0.14796,0.0,0.85204,0.14796
6,cnn,500,4000,0.0,0.7301,0.2699,0.0,0.7301,0.2699
7,cnn,500,4500,0.0,0.83986,0.16014,0.0,0.83986,0.16014
8,cnn,500,5000,0.0,0.77866,0.22134,0.0,0.77866,0.22134
9,cnn,500,5500,0.0,0.63778,0.36222,0.0,0.63778,0.36222
10,cnn,500,6000,0.0,0.97552,0.02448,0.0,0.97552,0.02448
11,cnn,500,6500,0.0,0.88118,0.11882,0.0,0.88118,0.11882
12,cnn,500,7000,0.0,0.99418,0.00582,0.0,0.99418,0.00582
13,cnn,500,7500,0.00024,0.99948,0.00028,0.00024,0.99948,0.00028
14,cnn,500,8000,0.0,0.99982,0.00018,0.0,0.99982,0.00018
15,cnn,1000,1500,0.0,0.98268,0.01732,0.0,0.98268,0.01732
16,cnn,1000,2000,0.0,0.91244,0.08756,0.0,0.91244,0.08756
17,cnn,1000,2500,0.0,0.8659,0.1341,0.0,0.8659,0.1341
18,cnn,1000,3000,0.0,0.9435,0.0565,0.0,0.9435,0.0565
19,cnn,1000,3500,0.0,0.99666,0.00334,0.0,0.99666,0.00334
20,cnn,1000,4000,0.0,0.91088,0.08912,0.0,0.91088,0.08912
21,cnn,1000,4500,0.0,0.99984,0.00016,0.0,0.99984,0.00016
22,cnn,1000,5000,0.0,0.99356,0.00644,0.0,0.99356,0.00644
23,cnn,1000,5500,0.0,0.96462,0.03538,0.0,0.96462,0.03538
24,cnn,1000,6000,0.0,1.0,0.0,0.0,1.0,0.0
25,cnn,1000,6500,0.0,0.99992,8e-05,0.0,0.99992,8e-05
26,cnn,1000,7000,0.0,1.0,0.0,0.0,1.0,0.0
27,cnn,1000,7500,0.0,1.0,0.0,0.0,1.0,0.0
28,cnn,1000,8000,0.0,1.0,0.0,0.0,1.0,0.0
29,cnn,1500,2000,0.0,0.9998,0.0002,0.0,0.9998,0.0002
30,cnn,1500,2500,0.0,1.0,0.0,0.0,1.0,0.0
31,cnn,1500,3000,0.0,1.0,0.0,0.0,1.0,0.0
32,cnn,1500,3500,0.0,0.99998,2e-05,0.0,0.99998,2e-05
33,cnn,1500,4000,0.0,0.9999,0.0001,0.0,0.9999,0.0001
34,cnn,1500,4500,0.0,0.99992,8e-05,0.0,0.99992,8e-05
35,cnn,1500,5000,0.0,0.99994,6e-05,0.0,0.99994,6e-05
36,cnn,1500,5500,0.00014,0.99986,0.0,0.00014,0.99986,0.0
37,cnn,1500,6000,0.00018,0.99982,0.0,0.00018,0.99982,0.0
38,cnn,1500,6500,0.00042,0.99958,0.0,0.00042,0.99958,0.0
39,cnn,1500,7000,6e-05,0.99994,0.0,6e-05,0.99994,0.0
40,cnn,1500,7500,0.01284,0.98716,0.0,0.01284,0.98716,0.0
41,cnn,1500,8000,0.00386,0.99614,0.0,0.00386,0.99614,0.0
42,cnn,2000,2500,0.0,1.0,0.0,0.0,1.0,0.0
43,cnn,2000,3000,0.0,0.99998,2e-05,0.0,0.99998,2e-05
44,cnn,2000,3500,0.0,1.0,0.0,0.0,1.0,0.0
45,cnn,2000,4000,0.0,1.0,0.0,0.0,1.0,0.0
46,cnn,2000,4500,0.00056,0.99944,0.0,0.00056,0.99944,0.0
47,cnn,2000,5000,0.0,1.0,0.0,0.0,1.0,0.0
48,cnn,2000,5500,0.00022,0.99978,0.0,0.00022,0.99978,0.0
49,cnn,2000,6000,0.00492,0.99508,0.0,0.00492,0.99508,0.0
50,cnn,2000,6500,6e-05,0.99994,0.0,6e-05,0.99994,0.0
51,cnn,2000,7000,0.0235,0.9765,0.0,0.0235,0.9765,0.0
52,cnn,2000,7500,0.08084,0.91916,0.0,0.08084,0.91916,0.0
53,cnn,2000,8000,0.19568,0.80432,0.0,0.19568,0.80432,0.0
54,cnn,2500,3000,0.0,1.0,0.0,0.0,1.0,0.0
55,cnn,2500,3500,4e-05,0.99996,0.0,4e-05,0.99996,0.0
56,cnn,2500,4000,0.00012,0.99988,0.0,0.00012,0.99988,0.0
57,cnn,2500,4500,0.00138,0.99862,0.0,0.00138,0.99862,0.0
58,cnn,2500,5000,0.0,1.0,0.0,0.0,1.0,0.0
59,cnn,2500,5500,2e-05,0.99998,0.0,2e-05,0.99998,0.0
60,cnn,2500,6000,0.01182,0.98818,0.0,0.01182,0.98818,0.0
61,cnn,2500,6500,0.00218,0.99782,0.0,0.00218,0.99782,0.0
62,cnn,2500,7000,0.02248,0.97752,0.0,0.02248,0.97752,0.0
63,cnn,2500,7500,0.08058,0.91942,0.0,0.08058,0.91942,0.0
64,cnn,2500,8000,0.09964,0.90036,0.0,0.09964,0.90036,0.0
65,cnn,3000,3500,0.0,1.0,0.0,0.0,1.0,0.0
66,cnn,3000,4000,0.0,1.0,0.0,0.0,1.0,0.0
67,cnn,3000,4500,0.0,1.0,0.0,0.0,1.0,0.0
68,cnn,3000,5000,0.0,1.0,0.0,0.0,1.0,0.0
69,cnn,3000,5500,2e-05,0.99998,0.0,2e-05,0.99998,0.0
70,cnn,3000,6000,0.00304,0.99696,0.0,0.00304,0.99696,0.0
71,cnn,3000,6500,0.00026,0.99974,0.0,0.00026,0.99974,0.0
72,cnn,3000,7000,0.0005,0.9995,0.0,0.0005,0.9995,0.0
73,cnn,3000,7500,0.01264,0.98736,0.0,0.01264,0.98736,0.0
74,cnn,3000,8000,0.0078,0.9922,0.0,0.0078,0.9922,0.0
75,cnn,3500,4000,0.00024,0.99952,0.00024,0.00024,0.99952,0.00024
76,cnn,3500,4500,0.0,1.0,0.0,0.0,1.0,0.0
77,cnn,3500,5000,0.0,0.99998,2e-05,0.0,0.99998,2e-05
78,cnn,3500,5500,0.0,0.9998,0.0002,0.0,0.9998,0.0002
79,cnn,3500,6000,0.00022,0.99978,0.0,0.00022,0.99978,0.0
80,cnn,3500,6500,0.0,1.0,0.0,0.0,1.0,0.0
81,cnn,3500,7000,0.00044,0.99956,0.0,0.00044,0.99956,0.0
82,cnn,3500,7500,0.00088,0.99912,0.0,0.00088,0.99912,0.0
83,cnn,3500,8000,0.01788,0.98212,0.0,0.01788,0.98212,0.0
84,cnn,4000,4500,0.00046,0.99954,0.0,0.00046,0.99954,0.0
85,cnn,4000,5000,0.0001,0.99988,2e-05,0.0001,0.99988,2e-05
86,cnn,4000,5500,0.0,1.0,0.0,0.0,1.0,0.0
87,cnn,4000,6000,0.01504,0.98496,0.0,0.01504,0.98496,0.0
88,cnn,4000,6500,0.0003,0.9997,0.0,0.0003,0.9997,0.0
89,cnn,4000,7000,0.00502,0.99498,0.0,0.00502,0.99498,0.0
90,cnn,4000,7500,0.02754,0.97246,0.0,0.02754,0.97246,0.0
91,cnn,4000,8000,0.04374,0.95626,0.0,0.04374,0.95626,0.0
92,cnn,4500,5000,0.0,1.0,0.0,0.0,1.0,0.0
93,cnn,4500,5500,0.0,0.99992,8e-05,0.0,0.99992,8e-05
94,cnn,4500,6000,0.00604,0.99396,0.0,0.00604,0.99396,0.0
95,cnn,4500,6500,2e-05,0.99998,0.0,2e-05,0.99998,0.0
96,cnn,4500,7000,0.0,1.0,0.0,0.0,1.0,0.0
97,cnn,4500,7500,0.00798,0.99202,0.0,0.00798,0.99202,0.0
98,cnn,4500,8000,0.0163,0.9837,0.0,0.0163,0.9837,0.0
99,cnn,5000,5500,0.0,1.0,0.0,0.0,1.0,0.0
100,cnn,5000,6000,0.0004,0.9996,0.0,0.0004,0.9996,0.0
101,cnn,5000,6500,0.0,1.0,0.0,0.0,1.0,0.0
102,cnn,5000,7000,0.0,1.0,0.0,0.0,1.0,0.0
103,cnn,5000,7500,0.01834,0.98166,0.0,0.01834,0.98166,0.0
104,cnn,5000,8000,0.02366,0.97634,0.0,0.02366,0.97634,0.0
105,cnn,5500,6000,0.00144,0.99856,0.0,0.00144,0.99856,0.0
106,cnn,5500,6500,0.0,1.0,0.0,0.0,1.0,0.0
107,cnn,5500,7000,8e-05,0.99992,0.0,8e-05,0.99992,0.0
108,cnn,5500,7500,0.01128,0.98872,0.0,0.01128,0.98872,0.0
109,cnn,5500,8000,0.02238,0.97762,0.0,0.02238,0.97762,0.0
110,cnn,6000,6500,0.0,0.99998,2e-05,0.0,0.99998,2e-05
111,cnn,6000,7000,0.0,1.0,0.0,0.0,1.0,0.0
112,cnn,6000,7500,0.0,1.0,0.0,0.0,1.0,0.0
113,cnn,6000,8000,0.00024,0.99976,0.0,0.00024,0.99976,0.0
114,cnn,6500,7000,0.0,1.0,0.0,0.0,1.0,0.0
115,cnn,6500,7500,0.0,1.0,0.0,0.0,1.0,0.0
116,cnn,6500,8000,2e-05,0.99998,0.0,2e-05,0.99998,0.0
117,cnn,7000,7500,0.0,1.0,0.0,0.0,1.0,0.0
118,cnn,7000,8000,0.0,1.0,0.0,0.0,1.0,0.0
119,cnn,7500,8000,0.0,1.0,0.0,0.0,1.0,0.0
120,text cnn,500,1000,0.0,0.95958,0.04042,0.0,0.95958,0.04042
121,text cnn,500,1500,0.0,0.99912,0.00088,0.0,0.99912,0.00088
122,text cnn,500,2000,0.0,0.30784,0.69216,0.0,0.30784,0.69216
123,text cnn,500,2500,0.0,0.89878,0.10122,0.0,0.89878,0.10122
124,text cnn,500,3000,0.0,0.68654,0.31346,0.0,0.68654,0.31346
125,text cnn,500,3500,0.0,0.8335,0.1665,0.0,0.8335,0.1665
126,text cnn,500,4000,0.0,0.22366,0.77634,0.0,0.22366,0.77634
127,text cnn,500,4500,0.0,0.40506,0.59494,0.0,0.40506,0.59494
128,text cnn,500,5000,0.0,0.9583,0.0417,0.0,0.9583,0.0417
129,text cnn,500,5500,0.0,0.0358,0.9642,0.0,0.0358,0.9642
130,text cnn,500,6000,0.0,0.14878,0.85122,0.0,0.14878,0.85122
131,text cnn,500,6500,0.0,0.0774,0.9226,0.0,0.0774,0.9226
132,text cnn,500,7000,0.0,0.04306,0.95694,0.0,0.04306,0.95694
133,text cnn,500,7500,0.0,0.20844,0.79156,0.0,0.20844,0.79156
134,text cnn,500,8000,0.0,0.22086,0.77914,0.0,0.22086,0.77914
135,text cnn,1000,1500,0.0,0.99998,2e-05,0.0,0.99998,2e-05
136,text cnn,1000,2000,0.0,0.97558,0.02442,0.0,0.97558,0.02442
137,text cnn,1000,2500,0.0,1.0,0.0,0.0,1.0,0.0
138,text cnn,1000,3000,0.0,0.998,0.002,0.0,0.998,0.002
139,text cnn,1000,3500,0.0,0.9988,0.0012,0.0,0.9988,0.0012
140,text cnn,1000,4000,0.0,0.9583,0.0417,0.0,0.9583,0.0417
141,text cnn,1000,4500,0.0,0.9992,0.0008,0.0,0.9992,0.0008
142,text cnn,1000,5000,4e-05,0.9999,6e-05,4e-05,0.9999,6e-05
143,text cnn,1000,5500,0.0,0.85392,0.14608,0.0,0.85392,0.14608
144,text cnn,1000,6000,0.0,0.94134,0.05866,0.0,0.94134,0.05866
145,text cnn,1000,6500,0.0,0.97284,0.02716,0.0,0.97284,0.02716
146,text cnn,1000,7000,0.0,0.90302,0.09698,0.0,0.90302,0.09698
147,text cnn,1000,7500,0.0,0.99804,0.00196,0.0,0.99804,0.00196
148,text cnn,1000,8000,0.0,0.9592,0.0408,0.0,0.9592,0.0408
149,text cnn,1500,2000,0.0,0.99876,0.00124,0.0,0.99876,0.00124
150,text cnn,1500,2500,0.0,0.99996,4e-05,0.0,0.99996,4e-05
151,text cnn,1500,3000,0.0,0.99926,0.00074,0.0,0.99926,0.00074
152,text cnn,1500,3500,0.0,0.99892,0.00108,0.0,0.99892,0.00108
153,text cnn,1500,4000,0.0,0.96888,0.03112,0.0,0.96888,0.03112
154,text cnn,1500,4500,4e-05,0.99136,0.0086,4e-05,0.99136,0.0086
155,text cnn,1500,5000,0.0,1.0,0.0,0.0,1.0,0.0
156,text cnn,1500,5500,0.0,0.78544,0.21456,0.0,0.78544,0.21456
157,text cnn,1500,6000,0.0,0.96808,0.03192,0.0,0.96808,0.03192
158,text cnn,1500,6500,0.0,0.99558,0.00442,0.0,0.99558,0.00442
159,text cnn,1500,7000,0.0,0.85734,0.14266,0.0,0.85734,0.14266
160,text cnn,1500,7500,0.0,0.98328,0.01672,0.0,0.98328,0.01672
161,text cnn,1500,8000,0.0,0.99024,0.00976,0.0,0.99024,0.00976
162,text cnn,2000,2500,0.00102,0.99898,0.0,0.00102,0.99898,0.0
163,text cnn,2000,3000,0.0,1.0,0.0,0.0,1.0,0.0
164,text cnn,2000,3500,0.002,0.998,0.0,0.002,0.998,0.0
165,text cnn,2000,4000,0.0,0.99784,0.00216,0.0,0.99784,0.00216
166,text cnn,2000,4500,0.0,1.0,0.0,0.0,1.0,0.0
167,text cnn,2000,5000,0.00036,0.99964,0.0,0.00036,0.99964,0.0
168,text cnn,2000,5500,0.0,1.0,0.0,0.0,1.0,0.0
169,text cnn,2000,6000,0.0,0.99948,0.00052,0.0,0.99948,0.00052
170,text cnn,2000,6500,0.0,1.0,0.0,0.0,1.0,0.0
171,text cnn,2000,7000,4e-05,0.9995,0.00046,4e-05,0.9995,0.00046
172,text cnn,2000,7500,0.0004,0.99954,6e-05,0.0004,0.99954,6e-05
173,text cnn,2000,8000,0.0,0.99906,0.00094,0.0,0.99906,0.00094
174,text cnn,2500,3000,0.0,0.99968,0.00032,0.0,0.99968,0.00032
175,text cnn,2500,3500,0.0,0.99998,2e-05,0.0,0.99998,2e-05
176,text cnn,2500,4000,0.0,0.99894,0.00106,0.0,0.99894,0.00106
177,text cnn,2500,4500,0.0,1.0,0.0,0.0,1.0,0.0
178,text cnn,2500,5000,6e-05,0.99994,0.0,6e-05,0.99994,0.0
179,text cnn,2500,5500,0.0,0.95902,0.04098,0.0,0.95902,0.04098
180,text cnn,2500,6000,0.0,0.9998,0.0002,0.0,0.9998,0.0002
181,text cnn,2500,6500,0.0,0.99698,0.00302,0.0,0.99698,0.00302
182,text cnn,2500,7000,0.0,0.9772,0.0228,0.0,0.9772,0.0228
183,text cnn,2500,7500,0.0,0.99978,0.00022,0.0,0.99978,0.00022
184,text cnn,2500,8000,4e-05,0.99452,0.00544,4e-05,0.99452,0.00544
185,text cnn,3000,3500,0.00102,0.99898,0.0,0.00102,0.99898,0.0
186,text cnn,3000,4000,0.0,1.0,0.0,0.0,1.0,0.0
187,text cnn,3000,4500,0.0,1.0,0.0,0.0,1.0,0.0
188,text cnn,3000,5000,0.0,1.0,0.0,0.0,1.0,0.0
189,text cnn,3000,5500,0.0,0.99926,0.00074,0.0,0.99926,0.00074
190,text cnn,3000,6000,0.0,1.0,0.0,0.0,1.0,0.0
191,text cnn,3000,6500,2e-05,0.99998,0.0,2e-05,0.99998,0.0
192,text cnn,3000,7000,0.0,0.9138,0.0862,0.0,0.9138,0.0862
193,text cnn,3000,7500,0.0002,0.99756,0.00224,0.0002,0.99756,0.00224
194,text cnn,3000,8000,0.0,0.99902,0.00098,0.0,0.99902,0.00098
195,text cnn,3500,4000,0.0,0.97666,0.02334,0.0,0.97666,0.02334
196,text cnn,3500,4500,0.00016,0.99906,0.00078,0.00016,0.99906,0.00078
197,text cnn,3500,5000,4e-05,0.99996,0.0,4e-05,0.99996,0.0
198,text cnn,3500,5500,0.0,0.96014,0.03986,0.0,0.96014,0.03986
199,text cnn,3500,6000,0.0,0.99188,0.00812,0.0,0.99188,0.00812
200,text cnn,3500,6500,0.0,0.99636,0.00364,0.0,0.99636,0.00364
201,text cnn,3500,7000,0.0,0.99826,0.00174,0.0,0.99826,0.00174
202,text cnn,3500,7500,0.0,1.0,0.0,0.0,1.0,0.0
203,text cnn,3500,8000,0.0,0.97624,0.02376,0.0,0.97624,0.02376
204,text cnn,4000,4500,0.00076,0.99924,0.0,0.00076,0.99924,0.0
205,text cnn,4000,5000,0.00746,0.99254,0.0,0.00746,0.99254,0.0
206,text cnn,4000,5500,0.0,0.99866,0.00134,0.0,0.99866,0.00134
207,text cnn,4000,6000,0.0,1.0,0.0,0.0,1.0,0.0
208,text cnn,4000,6500,0.00012,0.99988,0.0,0.00012,0.99988,0.0
209,text cnn,4000,7000,0.0,0.99948,0.00052,0.0,0.99948,0.00052
210,text cnn,4000,7500,6e-05,0.99994,0.0,6e-05,0.99994,0.0
211,text cnn,4000,8000,0.0,1.0,0.0,0.0,1.0,0.0
212,text cnn,4500,5000,0.00012,0.99988,0.0,0.00012,0.99988,0.0
213,text cnn,4500,5500,0.0,0.99844,0.00156,0.0,0.99844,0.00156
214,text cnn,4500,6000,0.0,0.99962,0.00038,0.0,0.99962,0.00038
215,text cnn,4500,6500,0.0,1.0,0.0,0.0,1.0,0.0
216,text cnn,4500,7000,0.0,0.99538,0.00462,0.0,0.99538,0.00462
217,text cnn,4500,7500,2e-05,0.99396,0.00602,2e-05,0.99396,0.00602
218,text cnn,4500,8000,0.0,0.99572,0.00428,0.0,0.99572,0.00428
219,text cnn,5000,5500,0.0,0.92716,0.07284,0.0,0.92716,0.07284
220,text cnn,5000,6000,0.0,0.98774,0.01226,0.0,0.98774,0.01226
221,text cnn,5000,6500,0.0,0.99448,0.00552,0.0,0.99448,0.00552
222,text cnn,5000,7000,0.0,0.90478,0.09522,0.0,0.90478,0.09522
223,text cnn,5000,7500,0.0,0.9836,0.0164,0.0,0.9836,0.0164
224,text cnn,5000,8000,0.0,0.99146,0.00854,0.0,0.99146,0.00854
225,text cnn,5500,6000,0.01534,0.98466,0.0,0.01534,0.98466,0.0
226,text cnn,5500,6500,0.0,1.0,0.0,0.0,1.0,0.0
227,text cnn,5500,7000,0.0013,0.99678,0.00192,0.0013,0.99678,0.00192
228,text cnn,5500,7500,0.02476,0.97524,0.0,0.02476,0.97524,0.0
229,text cnn,5500,8000,0.0002,0.99974,6e-05,0.0002,0.99974,6e-05
230,text cnn,6000,6500,0.0,1.0,0.0,0.0,1.0,0.0
231,text cnn,6000,7000,0.0,0.99972,0.00028,0.0,0.99972,0.00028
232,text cnn,6000,7500,0.0,1.0,0.0,0.0,1.0,0.0
233,text cnn,6000,8000,0.0,0.99978,0.00022,0.0,0.99978,0.00022
234,text cnn,6500,7000,0.0,1.0,0.0,0.0,1.0,0.0
235,text cnn,6500,7500,0.00022,0.99978,0.0,0.00022,0.99978,0.0
236,text cnn,6500,8000,0.0,1.0,0.0,0.0,1.0,0.0
237,text cnn,7000,7500,0.00094,0.99906,0.0,0.00094,0.99906,0.0
238,text cnn,7000,8000,0.00208,0.99792,0.0,0.00208,0.99792,0.0
239,text cnn,7500,8000,0.0002,0.99912,0.00068,0.0002,0.99912,0.00068
240,dcnn,500,1000,0.0,0.9981,0.0019,0.0,0.9981,0.0019
241,dcnn,500,1500,0.0,0.95884,0.04116,0.0,0.95884,0.04116
242,dcnn,500,2000,0.0,0.49314,0.50686,0.0,0.49314,0.50686
243,dcnn,500,2500,0.0,0.34136,0.65864,0.0,0.34136,0.65864
244,dcnn,500,3000,0.0,0.27178,0.72822,0.0,0.27178,0.72822
245,dcnn,500,3500,0.0,0.31714,0.68286,0.0,0.31714,0.68286
246,dcnn,500,4000,0.0,0.0211,0.9789,0.0,0.0211,0.9789
247,dcnn,500,4500,0.0,0.022,0.978,0.0,0.022,0.978
248,dcnn,500,5000,0.0,0.01398,0.98602,0.0,0.01398,0.98602
249,dcnn,500,5500,0.0,0.00068,0.99932,0.0,0.00068,0.99932
250,dcnn,500,6000,0.0,0.0065,0.9935,0.0,0.0065,0.9935
251,dcnn,500,6500,0.0,0.00918,0.99082,0.0,0.00918,0.99082
252,dcnn,500,7000,0.0,0.00352,0.99648,0.0,0.00352,0.99648
253,dcnn,500,7500,0.0,0.00062,0.99938,0.0,0.00062,0.99938
254,dcnn,500,8000,0.0,0.00632,0.99368,0.0,0.00632,0.99368
255,dcnn,1000,1500,0.0,1.0,0.0,0.0,1.0,0.0
256,dcnn,1000,2000,0.0,0.99664,0.00336,0.0,0.99664,0.00336
257,dcnn,1000,2500,0.0,0.99278,0.00722,0.0,0.99278,0.00722
258,dcnn,1000,3000,0.0,0.99672,0.00328,0.0,0.99672,0.00328
259,dcnn,1000,3500,0.0,0.98288,0.01712,0.0,0.98288,0.01712
260,dcnn,1000,4000,0.0,0.96606,0.03394,0.0,0.96606,0.03394
261,dcnn,1000,4500,0.0,0.85862,0.14138,0.0,0.85862,0.14138
262,dcnn,1000,5000,0.0,0.76534,0.23466,0.0,0.76534,0.23466
263,dcnn,1000,5500,0.0,0.12446,0.87554,0.0,0.12446,0.87554
264,dcnn,1000,6000,0.0,0.60756,0.39244,0.0,0.60756,0.39244
265,dcnn,1000,6500,0.0,0.82148,0.17852,0.0,0.82148,0.17852
266,dcnn,1000,7000,0.0,0.42938,0.57062,0.0,0.42938,0.57062
267,dcnn,1000,7500,0.0,0.07448,0.92552,0.0,0.07448,0.92552
268,dcnn,1000,8000,0.0,0.81236,0.18764,0.0,0.81236,0.18764
269,dcnn,1500,2000,4e-05,0.99996,0.0,4e-05,0.99996,0.0
270,dcnn,1500,2500,0.0,0.99998,2e-05,0.0,0.99998,2e-05
271,dcnn,1500,3000,0.0,1.0,0.0,0.0,1.0,0.0
272,dcnn,1500,3500,0.0,0.9968,0.0032,0.0,0.9968,0.0032
273,dcnn,1500,4000,0.0,0.99998,2e-05,0.0,0.99998,2e-05
274,dcnn,1500,4500,0.0,0.9349,0.0651,0.0,0.9349,0.0651
275,dcnn,1500,5000,0.0,0.98404,0.01596,0.0,0.98404,0.01596
276,dcnn,1500,5500,0.0,0.3057,0.6943,0.0,0.3057,0.6943
277,dcnn,1500,6000,0.0,0.88136,0.11864,0.0,0.88136,0.11864
278,dcnn,1500,6500,0.0,0.96964,0.03036,0.0,0.96964,0.03036
279,dcnn,1500,7000,0.0,0.56644,0.43356,0.0,0.56644,0.43356
280,dcnn,1500,7500,0.0,0.23782,0.76218,0.0,0.23782,0.76218
281,dcnn,1500,8000,0.0,0.9588,0.0412,0.0,0.9588,0.0412
